time,G(i),H_sun,T2m,WS10m,Int
20050114:0600,0.0,0.0,-9.27,2.99,0.0
20050114:0700,0.0,0.0,-9.9,3.12,0.0
20050114:0800,0.0,0.0,-10.52,3.24,0.0
20050114:0900,0.0,0.0,-11.15,3.37,0.0
20050114:1000,0.0,0.0,-11.12,3.38,0.0
20050114:1100,0.0,0.0,-11.08,3.39,0.0
20050114:1200,0.0,0.0,-11.05,3.41,0.0
20050114:1300,0.0,0.0,-10.77,3.35,0.0
20050114:1400,0.0,0.0,-10.48,3.3,0.0
20050114:1500,409.89,6.42,-10.2,3.24,0.0
20050114:1600,729.55,15.52,-5.47,2.96,0.0
20050114:1700,954.9,22.95,-0.73,2.68,0.0
20050114:1800,1095.61,28.05,4.01,2.4,0.0
20050114:1900,1154.36,30.2,5.05,2.33,0.0
20050114:2000,1124.44,29.09,6.09,2.25,0.0
20050114:2100,1006.85,24.89,7.13,2.18,0.0
20050114:2200,811.55,18.14,4.97,2.16,0.0
20050114:2300,533.35,9.51,2.8,2.14,0.0
20050115:0000,0.0,0.0,0.63,2.12,0.0
20050115:0100,0.0,0.0,-1.66,2.02,0.0
20050115:0200,0.0,0.0,-3.95,1.91,0.0
20050115:0300,0.0,0.0,-6.24,1.81,0.0
20050115:0400,0.0,0.0,-7.11,1.76,0.0
20050115:0500,0.0,0.0,-7.97,1.71,0.0
20050115:0600,0.0,0.0,-8.84,1.67,0.0
20050115:0700,0.0,0.0,-9.29,1.71,0.0
20050115:0800,0.0,0.0,-9.74,1.75,0.0
20050115:0900,0.0,0.0,-10.19,1.79,0.0
20050115:1000,0.0,0.0,-10.14,1.86,0.0
20050115:1100,0.0,0.0,-10.08,1.93,0.0
20050115:1200,0.0,0.0,-10.03,2.0,0.0
20050115:1300,0.0,0.0,-9.46,2.37,0.0
20050115:1400,0.0,0.0,-8.9,2.74,0.0
20050115:1500,392.6,6.49,-8.33,3.12,0.0
20050115:1600,711.86,15.62,-3.76,2.86,0.0
20050115:1700,939.41,23.07,0.82,2.6,0.0
20050115:1800,1087.38,28.2,5.39,2.34,0.0
20050115:1900,1148.08,30.38,6.02,2.67,0.0
20050115:2000,1124.29,29.28,6.65,3.0,0.0
20050115:2100,1013.58,25.09,7.28,3.32,0.0
20050115:2200,822.43,18.34,4.94,2.84,0.0
20050115:2300,545.73,9.7,2.6,2.35,0.0
20050116:0000,0.0,0.0,0.25,1.86,0.0
20050116:0100,0.0,0.0,-1.55,2.09,0.0
20050116:0200,0.0,0.0,-3.36,2.31,0.0
20050116:0300,0.0,0.0,-5.16,2.54,0.0
20050116:0400,0.0,0.0,-5.84,2.63,0.0
20050116:0500,0.0,0.0,-6.51,2.71,0.0
20050116:0600,0.0,0.0,-7.19,2.8,0.0
20050116:0700,0.0,0.0,-7.84,2.71,0.0
20050116:0800,0.0,0.0,-8.49,2.62,0.0
20050116:0900,0.0,0.0,-9.14,2.52,0.0
20050116:1000,0.0,0.0,-9.28,2.43,0.0
20050116:1100,0.0,0.0,-9.42,2.33,0.0
20050116:1200,0.0,0.0,-9.56,2.23,0.0
20050116:1300,0.0,0.0,-8.59,2.29,0.0
20050116:1400,0.0,0.0,-7.63,2.34,0.0
20050116:1500,150.3,6.56,-6.66,2.39,0.0
20050116:1600,158.86,15.72,-2.12,2.12,0.0
20050116:1700,608.52,23.2,2.42,1.86,0.0
20050116:1800,700.68,28.36,6.96,1.6,0.0
20050116:1900,772.78,30.56,7.85,1.62,0.0
20050116:2000,1072.89,29.48,8.74,1.65,0.0
20050116:2100,963.21,25.29,9.63,1.67,0.0
20050116:2200,773.95,18.54,8.19,1.54,0.0
20050116:2300,504.62,9.9,6.75,1.42,0.0
20050117:0000,0.0,0.0,5.31,1.3,0.0
20050117:0100,0.0,0.0,2.52,1.68,0.0
20050117:0200,0.0,0.0,-0.26,2.06,0.0
