Time,Energy,Temperature
2006-11-29,592,0.7
2006-11-30,7631,-3.1
2006-12-01,7394,-0.0
2006-12-02,1534,-5.7
2006-12-03,7645,-6.5
2006-12-04,6636,-4.9
2006-12-05,6130,-2.8
2006-12-06,6975,-2.4
2006-12-07,6831,0.4
2006-12-08,7423,0.3
2006-12-09,7369,-1.1
2006-12-10,7285,-1.7
2006-12-11,3779,-0.3
2006-12-12,3360,-2.7
2006-12-13,5179,-1.9
2006-12-14,4513,0.7
2006-12-15,3283,1.7
2006-12-16,4531,4.7
2006-12-17,1907,4.4
2006-12-18,5835,2.2
2006-12-19,3684,1.3
2006-12-20,600,0.4
2006-12-21,4754,-1.7
2006-12-22,6692,1.2
2006-12-23,7247,1.3
2006-12-24,6389,-0.2
2006-12-25,5772,0.0
2006-12-26,6647,4.5
2006-12-27,2330,2.2
2006-12-28,490,-0.3
2006-12-29,353,-1.4
2006-12-30,1095,-2.3
2006-12-31,7450,-3.0
2007-01-01,2668,-2.4
2007-01-02,7537,-2.2
2007-01-03,4032,-2.6
2007-01-04,6808,-0.3
2007-01-05,406,-0.9
2007-01-06,7668,-6.5
2007-01-07,6686,-6.9
2007-01-08,7514,0.0
2007-01-09,7566,-1.5
2007-01-10,7525,-2.8
2007-01-11,7634,-1.9
2007-01-12,2176,0.1
2007-01-13,6295,2.9
2007-01-14,2289,-3.5
2007-01-15,7943,-9.3
2007-01-16,7861,-10.4
2007-01-17,7964,-8.9
2007-01-18,7046,-9.0
2007-01-19,7516,-6.4
2007-01-20,2345,-2.2
2007-01-21,872,-5.7
2007-01-22,7880,-5.4
2007-01-23,7692,-3.4
2007-01-24,7674,-1.4
2007-01-25,7744,-0.7
2007-01-26,7736,-0.9
2007-01-27,1428,-2.0
2007-01-28,8013,-3.3
2007-01-29,7965,-3.7
2007-01-30,6440,-3.3
2007-01-31,1474,-4.1
2007-02-01,1221,-6.3
2007-02-02,8145,-8.3
2007-02-03,7938,-4.3
2007-02-04,4965,0.0
2007-02-05,7645,1.9
2007-02-06,4807,4.2
2007-02-07,3406,5.8
2007-02-08,6702,5.9
2007-02-09,5348,5.5
2007-02-10,6478,3.6
2007-02-11,6181,1.6
2007-02-12,6085,2.7
2007-02-13,888,0.5
2007-02-14,6380,-0.1
2007-02-15,5929,-3.4
2007-02-16,6371,-0.6
2007-02-17,8241,-0.1
2007-02-18,5859,-0.7
2007-02-19,4023,2.2
2007-02-20,8168,4.1
2007-02-21,8153,2.7
2007-02-22,7404,2.9
2007-02-23,6545,5.1
2007-02-24,6302,1.8
2007-02-25,5047,-0.5
2007-02-26,7955,-1.6
2007-02-27,8064,0.8
2007-02-28,2902,0.5
2007-03-01,6246,-3.1
2007-03-02,4602,-2.7
2007-03-03,7926,-3.7
2007-03-04,8245,1.8
2007-03-05,5445,4.2
2007-03-06,5566,6.2
2007-03-07,7728,9.4
2007-03-08,4774,7.8
2007-03-09,6212,8.5
2007-03-10,3289,8.8
2007-03-11,7474,8.3
2007-03-12,7865,10.2
2007-03-13,7876,10.6
2007-03-14,6026,12.3
2007-03-15,4229,11.8
2007-03-16,6845,10.8
2007-03-17,5663,12.9
2007-03-18,6275,11.6
2007-03-19,7461,8.1
2007-03-20,7422,11.0
2007-03-21,5443,10.9
2007-03-22,5706,10.2
2007-03-23,3858,10.5
2007-03-24,2143,8.1
2007-03-25,7476,9.1
2007-03-26,6415,10.5
2007-03-27,3218,12.5
2007-03-28,7665,11.0
2007-03-29,2889,3.7
2007-03-30,6613,4.4
2007-03-31,6344,6.5
2007-04-01,7076,10.4
2007-04-02,7285,12.3
2007-04-03,7402,13.9
2007-04-04,6304,12.1
2007-04-05,3956,11.8
2007-04-06,1529,10.3
2007-04-07,1349,7.2
2007-04-08,2876,7.9
2007-04-09,4416,9.5
2007-04-10,6286,8.2
2007-04-11,7009,4.4
2007-04-12,2182,6.2
2007-04-13,1658,5.7
2007-04-14,7097,6.4
2007-04-15,7045,10.5
2007-04-16,3997,12.6
2007-04-17,3842,10.6
2007-04-18,6409,11.4
2007-04-19,7145,10.3
2007-04-20,7024,9.4
2007-04-21,4782,12.0
2007-04-22,6260,10.9
2007-04-23,4854,12.4
2007-04-24,714,8.5
2007-04-25,5562,6.6
2007-04-26,5733,11.2
2007-04-27,6513,13.6
2007-04-28,6652,15.8
2007-04-29,5942,17.4
2007-04-30,4693,17.3
2007-05-01,4460,16.4
2007-05-02,2070,14.6
2007-05-03,6377,14.8
2007-05-04,3675,13.7
2007-05-05,4884,11.3
2007-05-06,3494,8.5
2007-05-07,5007,9.2
2007-05-08,6171,11.0
2007-05-09,6066,13.5
2007-05-10,5383,14.8
2007-05-11,6242,16.8
2007-05-12,4772,18.2
2007-05-13,3744,18.3
2007-05-14,3673,18.1
2007-05-15,2401,15.7
2007-05-16,4287,15.3
2007-05-17,4233,15.5
2007-05-18,4894,16.4
2007-05-19,5152,18.4
2007-05-20,3796,18.2
2007-05-21,4514,17.1
2007-05-22,4579,15.7
2007-05-23,1801,12.7
2007-05-24,5191,11.5
2007-05-25,4412,15.4
2007-05-26,5882,16.7
2007-05-27,5289,19.4
2007-05-28,5379,20.0
2007-05-29,4039,19.6
2007-05-30,5286,15.6
2007-05-31,5666,16.9
2007-06-01,4858,17.5
2007-06-02,4822,18.7
2007-06-03,3634,18.8
2007-06-04,3707,16.3
2007-06-05,5029,19.0
2007-06-06,4733,20.8
2007-06-07,5169,13.6
2007-06-08,5835,14.8
2007-06-09,4907,19.7
2007-06-10,5257,20.9
2007-06-11,4825,22.1
2007-06-12,3518,18.3
2007-06-13,3598,17.0
2007-06-14,5693,19.4
2007-06-15,5475,22.3
2007-06-16,4085,23.6
2007-06-17,5264,24.5
2007-06-18,5640,24.9
2007-06-19,5787,23.8
2007-06-20,5582,25.6
2007-06-21,3998,26.1
2007-06-22,4274,25.2
2007-06-23,5719,25.1
2007-06-24,4519,26.3
2007-06-25,5685,27.0
2007-06-26,3862,25.8
2007-06-27,4895,23.1
2007-06-28,4860,23.8
2007-06-29,4625,24.4
2007-06-30,4843,25.8
2007-07-01,5603,27.4
2007-07-02,5496,28.4
2007-07-03,4145,28.6
2007-07-04,5255,25.5
2007-07-05,5311,21.9
2007-07-06,5533,23.4
2007-07-07,5337,24.9
2007-07-08,4452,25.9
2007-07-09,4313,25.1
2007-07-10,4967,25.7
2007-07-11,3723,26.1
2007-07-12,3357,25.9
2007-07-13,5620,22.2
2007-07-14,5761,24.1
2007-07-15,5291,25.8
2007-07-16,5009,26.7
2007-07-17,5108,28.0
2007-07-18,3468,28.0
2007-07-19,4144,26.9
2007-07-20,4481,25.6
2007-07-21,5429,25.1
2007-07-22,5690,23.5
2007-07-23,5764,26.7
